review_id,robustness_score,frac_significant,frac_reversed,iqr_theta,eta2_estimator,audit_n_fail,audit_n_warn,audit_pct_fail,audit_pub_bias_flag,audit_model_misspec_flag,audit_prediction_gap_flag,audit_excess_sig_flag,audit_integrity_flag,quality_score,fragility_sub,bias_sub,prediction_sub,orb_sub,benford_mad,has_changepoint,n_changepoints,k,total_n,data_type_binary,data_type_continuous,data_type_GIV,topdim_Bias_Correction,topdim_Estimator,topdim_Leave_One_Out,topdim_CI_Method,never_stabilized,fragile_or_unstable,low_quality
CD002112,66.67,0.6666666666666666,0.0,0.2325401083478159,0.0,9,6,0.5,1,1,1,1,0,40.8,66.67,2.0,3.0,50.0,0.14667820851236646,0,0,37.0,4801.0,0,0,1,1,0,0,0,0,1,1
CD002115,39.95,0.3994708994708995,0.0,0.8644882531641381,0.0114,4,10,0.2727272727272727,1,0,0,0,1,33.0,39.95,3.0,3.32,40.0,0.1062979891542164,0,0,6.0,565.0,0,0,1,1,0,0,0,1,1,1
CD002122,48.54,0.011974380395433,0.0011138958507379,0.1853880100951034,0.0345,11,13,0.8571428571428571,0,1,1,1,0,43.5,48.54,0.0,5.41,90.0,0.07654386042949941,0,0,21.0,7636.0,1,0,0,1,0,0,0,0,1,1
CD002203,28.23,0.7177093059446,0.0,0.0778592285149644,0.4189,9,34,0.16666666666666666,1,1,1,1,1,38.9,28.23,2.0,4.37,40.0,0.08691124092038491,0,0,10.0,2423.0,0,0,1,0,1,0,0,0,1,1
CD002243,49.5,0.4950451635534508,0.0,0.069946147197378,0.0681,37,39,0.7619047619047619,1,1,1,1,0,34.8,49.5,2.0,5.73,50.0,0.09114988113089982,0,0,74.0,23225.0,0,0,1,1,0,0,0,0,1,1
CD002290,63.4,0.6339869281045751,0.0,0.4732438973403503,0.0106,10,5,0.8,1,1,1,1,0,41.2,63.4,2.0,3.79,40.0,0.08538684493642541,0,0,55.0,5682.0,0,0,1,1,0,0,0,0,1,1
CD002303,64.29,0.6428571428571429,0.0,0.0731086859621615,0.0037,1,2,0.5,0,1,0,0,0,63.8,64.29,0.0,3.05,25.0,0.1310723410913224,0,0,8.0,1732.0,0,0,1,1,0,0,0,0,1,0
CD002971,60.03,0.6002886002886003,0.0,0.4529922222132241,0.0001,0,10,0.0,0,0,0,0,0,76.0,60.03,0.0,1.35,0.0,0.0770638858277014,0,0,11.0,2261.0,0,0,1,1,0,0,0,0,1,0
CD003129,22.22,0.2222222222222222,0.0,0.199467578227051,0.0,1,7,0.14285714285714285,0,0,1,0,0,37.0,22.22,,6.48,0.0,0.10996667148446534,0,0,4.0,422.0,0,0,1,0,0,0,1,0,1,1
CD003216,71.11,0.0222222222222222,0.0,0.3404890239393138,0.0,1,6,0.125,1,0,0,0,0,71.2,71.11,,2.48,10.0,0.08748119880065089,0,0,24.0,7480.0,0,0,1,1,0,0,0,0,0,0
CD003218,66.67,0.0,0.0,1.4648810753779506,0.0,0,3,0.0,0,0,0,0,0,58.3,66.67,2.0,1.62,0.0,0.10993944331037643,0,0,3.0,114.0,0,0,1,1,0,0,0,0,1,1
CD003331,67.59,0.0,0.0,0.2306878350802039,0.0,4,10,0.3333333333333333,1,1,1,0,0,62.2,67.59,0.0,1.04,10.0,0.12484373584682386,0,0,34.0,3941.0,0,0,1,1,0,0,0,0,1,0
CD003333,66.67,0.0,0.0,0.0489588979042862,0.0,0,1,0.0,0,0,0,0,0,69.1,66.67,,2.2,10.0,0.19051833254028183,0,0,4.0,4727.0,0,0,1,0,0,1,0,0,1,0
CD003357,44.84,0.4484126984126984,0.0,0.4148402087360449,0.0164,6,3,0.4,1,1,1,0,0,48.4,44.84,0.0,3.04,15.0,0.08125259355615233,0,0,8.0,1542.0,0,0,1,1,0,0,0,0,1,1
CD003376,91.67,0.0,0.0,0.211986567908045,0.0,5,5,0.5555555555555556,1,0,0,0,0,77.1,91.67,0.0,1.1,0.0,0.12753527576540416,0,0,15.0,8073.0,0,0,1,0,0,1,0,0,0,0
CD003414,61.06,0.0,0.0,0.235070999346187,0.003,3,10,0.2857142857142857,1,0,0,0,0,59.1,61.06,0.0,1.09,15.0,0.08840388486414168,0,0,14.0,4468.0,0,0,1,1,0,0,0,0,1,1
CD003429,65.08,0.0634920634920634,0.0476190476190476,0.7113623271560051,0.0,0,9,0.0,0,0,0,0,0,57.8,65.08,1.0,1.42,0.0,0.1213066705209056,0,0,3.0,126.0,0,0,1,1,0,0,0,0,1,1
CD003477,69.44,0.0,0.0,0.1773185111922035,0.0,1,7,0.14285714285714285,1,0,0,0,0,64.3,69.44,0.0,2.42,0.0,0.09114988113089982,0,0,20.0,1171.0,0,0,1,1,0,0,0,0,1,0
CD003511,92.95,0.0335097001763668,0.0,0.0880982676351513,0.0011,0,13,0.0,0,0,0,0,0,76.0,92.95,0.0,1.25,10.0,0.161555272874725,0,0,8.0,1276.0,0,0,1,0,0,1,0,0,0,0
CD003519,52.08,0.5208333333333334,0.0,0.1272795501202336,0.0598,32,28,0.88,1,1,1,1,0,38.0,52.08,2.0,2.51,35.0,0.07915823969192687,0,0,16.0,8181.0,1,0,0,1,0,0,0,0,1,1
CD003594,87.17,0.1283068783068783,0.0,0.2413368887488848,0.1512,5,13,0.5714285714285714,0,1,1,1,0,85.5,87.17,0.0,2.69,0.0,0.06898990845622127,0,0,25.0,2699.0,0,0,1,0,1,0,0,0,0,0
CD003598,79.29,0.7929292929292929,0.0,0.0109010916845274,0.0,7,31,0.16666666666666666,1,1,0,1,0,89.8,79.29,0.0,1.07,20.0,0.09465971828272914,0,0,53.0,9101.0,0,0,1,1,0,0,0,0,0,0
CD003743,84.13,0.8412698412698413,0.0,0.0606781000946299,0.0,0,17,0.0,0,0,0,0,0,94.4,84.13,0.0,1.42,0.0,0.16941266293342483,0,0,1.0,88.0,0,0,1,1,0,0,0,0,0,0
CD003774,100.0,1.0,0.0,0.0889044556007827,0.0,13,24,0.5555555555555556,1,1,1,1,0,88.5,100.0,2.0,1.03,10.0,,0,0,38.0,19473.0,0,0,1,0,1,0,0,0,0,0
CD003833,93.33,0.0,0.0,2.773390031250905,0.0,0,5,0.0,0,0,0,0,0,83.6,93.33,,2.2,0.0,0.11619527672896392,0,0,3.0,311.0,0,0,1,1,0,0,0,0,0,0
CD003962,85.71,0.1428571428571428,0.0,0.1309382610538712,0.0,10,23,0.36363636363636365,1,1,1,0,0,63.5,85.71,1.0,1.42,10.0,0.1013182123666054,0,0,13.0,1057.0,0,0,1,1,0,0,0,0,0,0
CD004184,76.19,0.0,0.0,0.0928827364035388,0.0047,5,10,0.5,1,0,0,0,0,62.2,76.19,0.0,2.2,30.0,0.1128300324841367,0,0,1.0,1470.0,0,0,1,1,0,0,0,0,0,0
CD004307,100.0,1.0,0.0,0.0064220799497525,0.0,3,4,1.0,1,0,1,0,0,94.8,100.0,0.0,2.93,35.0,0.11891404482163316,0,0,52.0,22245.0,0,0,1,0,1,0,0,0,0,0
CD004376,100.0,0.0,0.0,0.06458143027969,0.0,12,5,0.8333333333333334,1,1,1,1,0,68.5,100.0,1.0,1.01,10.0,0.09506237894801794,0,0,133.0,22625.0,0,1,0,0,1,0,0,0,0,0
CD004406,85.71,0.1428571428571428,0.0,0.1313480064405332,0.0,4,13,0.4444444444444444,0,1,1,1,0,65.0,85.71,2.0,1.42,0.0,0.10131821236660542,0,0,17.0,5615.0,0,0,1,1,0,0,0,0,0,0
CD004417,96.3,0.9629629629629628,0.0,0.6272113060658042,0.0,5,11,0.6666666666666666,1,1,1,0,0,84.2,96.3,2.0,4.05,30.0,0.11360099127845122,0,0,10.0,14276.0,0,0,1,0,0,1,0,0,0,0
CD004508,51.7,0.0090702947845804,0.0090702947845804,0.3386017339042124,0.0582,3,15,0.125,0,1,0,1,0,55.8,51.7,0.0,3.07,15.0,0.12965685780371855,0,0,4.0,418.0,0,0,1,0,0,1,0,0,1,1
CD004661,87.55,0.0,0.0,0.0116520874202652,0.0007,32,26,0.6153846153846154,1,1,1,1,1,84.1,87.55,0.0,1.14,10.0,0.11619527672896392,0,0,6.0,56601.0,0,0,1,0,0,1,0,0,0,0
CD004667,34.08,0.3408029878618114,0.0,0.0425697878094287,0.2214,20,30,0.5,1,1,1,1,0,43.2,34.08,0.0,2.37,25.0,0.07579299544709965,0,0,15.0,71456.0,0,0,1,1,0,0,0,0,1,1
CD004703,86.67,0.0666666666666666,0.0,2.0623129195507586,0.0,2,4,0.4,1,0,0,0,0,80.4,86.67,,2.2,0.0,0.14395944041969724,0,0,20.0,3769.0,0,0,1,1,0,0,0,0,0,0
